date,year,movie_count,movies,movie_labels,combined_screen_share,threshold,combined_screen_count,best_aud,tier
2021-10-14,2021,2,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명)",60.18222112780104,60% 이상,2444,2121625,500만미만
2021-10-14,2021,3,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이 / 보이스,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명) / 보이스 (<5M, 1,421,580명)",73.43018960847083,70% 이상,2982,2121625,500만미만
2021-10-15,2021,2,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명)",60.92538759689923,60% 이상,2515,2121625,500만미만
2021-10-15,2021,3,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이 / 보이스,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명) / 보이스 (<5M, 1,421,580명)",74.37015503875969,70% 이상,3070,2121625,500만미만
2021-10-16,2021,3,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이 / 보이스,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명) / 보이스 (<5M, 1,421,580명)",70.16251354279524,70% 이상,3238,2121625,500만미만
2021-10-17,2021,3,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이 / 보이스,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명) / 보이스 (<5M, 1,421,580명)",69.47391210218663,60% 이상,3209,2121625,500만미만
2021-10-18,2021,2,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명)",65.49820590670714,60% 이상,2373,2121625,500만미만
2021-10-18,2021,3,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이 / 보이스,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명) / 보이스 (<5M, 1,421,580명)",80.09936516698869,70% 이상,2902,2121625,500만미만
2021-10-19,2021,2,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명)",62.480499219968806,60% 이상,2403,2121625,500만미만
2021-10-19,2021,3,베놈 2: 렛 데어 비 카니지 / 007 노 타임 투 다이 / 보이스,"베놈 2: 렛 데어 비 카니지 (<5M, 2,121,625명) / 007 노 타임 투 다이 (<5M, 1,222,296명) / 보이스 (<5M, 1,421,580명)",76.5210608424337,70% 이상,2943,2121625,500만미만
