date,year,quarter,rank,movie_cd,movie_nm,screen_count,show_count,audience_cnt,audience_acc,screen_share
2020-01-14,2020,2020Q1,4,20184571,천문: 하늘에 묻는다,660,1784,16346,1919913,12.417685794920038
2020-01-14,2020,2020Q1,5,20198414,시동,599,1504,14846,3280859,11.269990592662277
2020-01-14,2020,2020Q1,6,20196272,미드웨이,543,1306,12234,909890,10.216368767638759
2020-01-14,2020,2020Q1,7,20197803,겨울왕국 2,381,571,6384,13697115,7.168391345249295
2020-01-14,2020,2020Q1,8,20192300,스파이 지니어스 ,17,17,3132,7810,0.3198494825964252
2020-01-14,2020,2020Q1,9,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,241,286,3000,873099,4.534336782690499
2020-01-14,2020,2020Q1,10,20198430,나이브스 아웃,115,181,2787,758506,2.1636876763875823
2020-01-15,2020,2020Q1,1,20183002,해치지않아,1104,5244,108280,145512,21.16158711903393
2020-01-15,2020,2020Q1,2,20196670,나쁜 녀석들: 포에버,876,3783,62177,62608,16.791259344450836
2020-01-15,2020,2020Q1,3,20199581,닥터 두리틀,887,3552,50357,1138185,17.002108491470196
2020-01-15,2020,2020Q1,4,20192206,백두산,598,1716,21031,8084184,11.462526356143378
2020-01-15,2020,2020Q1,5,20195462,스타워즈: 라이즈 오브 스카이워커,477,984,8304,429855,9.14318573893042
2020-01-15,2020,2020Q1,6,20184571,천문: 하늘에 묻는다,432,761,7217,1927130,8.280621046578492
2020-01-15,2020,2020Q1,7,20198414,시동,347,613,5427,3286286,6.651332183247077
2020-01-15,2020,2020Q1,8,20196272,미드웨이,289,449,5404,915294,5.539582135326817
2020-01-15,2020,2020Q1,9,20197803,겨울왕국 2,193,241,3207,13700322,3.6994441249760395
2020-01-15,2020,2020Q1,10,20192101,히트맨,14,14,2663,4276,0.26835345984282155
2020-01-16,2020,2020Q1,1,20183002,해치지않아,1133,5275,94364,239876,21.957364341085274
2020-01-16,2020,2020Q1,2,20196670,나쁜 녀석들: 포에버,879,3606,50124,112732,17.03488372093023
2020-01-16,2020,2020Q1,3,20199581,닥터 두리틀,919,3587,44833,1183018,17.810077519379846
2020-01-16,2020,2020Q1,4,20192206,백두산,623,1712,19001,8103185,12.073643410852714
2020-01-16,2020,2020Q1,5,20195462,스타워즈: 라이즈 오브 스카이워커,463,916,7910,437765,8.972868217054264
2020-01-16,2020,2020Q1,6,20184571,천문: 하늘에 묻는다,430,762,6845,1933975,8.333333333333332
2020-01-16,2020,2020Q1,7,20198676,타오르는 여인의 초상,72,154,6530,10171,1.3953488372093024
2020-01-16,2020,2020Q1,8,20192101,히트맨,21,22,4770,9046,0.4069767441860465
2020-01-16,2020,2020Q1,9,20198414,시동,338,576,4714,3291000,6.550387596899225
2020-01-16,2020,2020Q1,10,20196272,미드웨이,282,417,4581,919875,5.465116279069767
2020-01-17,2020,2020Q1,1,20183002,해치지않아,1137,5552,105946,345822,21.240425929385392
2020-01-17,2020,2020Q1,2,20196670,나쁜 녀석들: 포에버,875,3616,58795,171527,16.345974220063518
2020-01-17,2020,2020Q1,3,20199581,닥터 두리틀,939,3810,50520,1233538,17.54156547730245
2020-01-17,2020,2020Q1,4,20192206,백두산,615,1710,19377,8122562,11.488884737530357
2020-01-17,2020,2020Q1,5,20195462,스타워즈: 라이즈 오브 스카이워커,445,884,9882,447647,8.313095460489444
2020-01-17,2020,2020Q1,6,20184571,천문: 하늘에 묻는다,435,758,7318,1941293,8.12628432654586
2020-01-17,2020,2020Q1,7,20198676,타오르는 여인의 초상,96,194,5681,15852,1.793386885858397
