quarter,movie_nm,movie_cd,screen_count,show_count,audience_acc_max,active_days,quarter_screen_share,quarter_rank,audience_tier
2025Q2,미션 임파서블: 파이널 레코닝,20246489,52541,147970,3360001,46,11.497515192230681,2,500만미만
2025Q2,하이파이브,20211791,31111,97014,1849352,36,6.808001277963662,3,500만미만
2025Q2,승부,20203863,30350,105520,2127984,32,6.641472109099583,4,500만미만
2025Q2,드래곤 길들이기,20247176,26008,78569,1547247,25,5.691314880179965,5,500만미만
2025Q2,A MINECRAFT MOVIE 마인크래프트 무비,20253280,21423,54853,1355645,31,4.687982108508743,6,500만미만
2025Q2,썬더볼츠＊,20244883,20184,56848,917148,28,4.416852489293772,7,500만미만
2025Q2,파과,20240398,18433,36316,543979,31,4.033682220330563,8,500만미만
2025Q2,신명,20254722,17040,36778,752149,30,3.7288528744335054,9,500만미만
2025Q2,거룩한 밤: 데몬 헌터스,20218800,14774,38973,772903,21,3.2329854675399416,10,500만미만
2025Q3,F1 더 무비,20254501,68392,162871,5149315,92,13.381255832973002,1,500만+
2025Q3,극장판 귀멸의 칼날: 무한성편,20253289,54438,172772,5026661,43,10.65108207151983,2,500만+
2025Q3,좀비딸,20241941,52909,187483,5625731,61,10.351925150116513,3,500만+
2025Q3,쥬라기 월드: 새로운 시작,20252527,28951,86276,2194112,29,5.664415978775315,4,500만미만
2025Q3,킹 오브 킹스,20254275,26794,51280,1302526,46,5.242387542237084,5,500만미만
2025Q3,노이즈,20233220,23625,61200,1699845,36,4.622355963475073,6,500만미만
2025Q3,얼굴,20242964,18039,53478,932524,20,3.529425575666744,7,500만미만
2025Q3,전지적 독자 시점,20233227,17401,50996,1051966,23,3.4045975077430577,8,500만미만
2025Q3,슈퍼맨,20249729,16171,43627,851220,21,3.1639415147240375,9,500만미만
2025Q3,명탐정 코난: 척안의 잔상,20254824,16102,34977,711060,31,3.1504413004815075,10,500만미만
2025Q4,주토피아 2,20252432,58274,225611,7705705,36,11.918703942699246,1,500만+
2025Q4,극장판 체인소 맨: 레제편,20256757,47834,141178,3426514,73,9.783424587210005,2,500만미만
2025Q4,아바타: 불과 재,20256396,32602,102295,4569538,15,6.668043826404242,3,500만+
2025Q4,어쩔수가없다,20243561,28644,77307,2925401,35,5.858519335118187,4,500만미만
2025Q4,보스,20228988,27074,95552,2424803,32,5.537409317099211,5,500만미만
2025Q4,나우 유 씨 미 3,20258383,25382,75326,1367031,35,5.191346800864747,6,500만미만
2025Q4,위키드: 포 굿,20255381,24339,60983,964710,40,4.97802339398972,7,500만미만
2025Q4,극장판 귀멸의 칼날: 무한성편,20253289,21118,29227,5664530,54,4.319236535366076,8,500만+
2025Q4,퍼스트 라이드,20253852,20284,59026,737835,34,4.1486596213356135,9,500만미만
2025Q4,8번 출구,20257570,16472,37914,441742,30,3.368996316438583,10,500만미만
2026Q1,왕과 사는 남자,20242837,99472,410440,15731812,57,21.754211007448816,1,1000만+
2026Q1,만약에 우리,20249255,41441,127002,2594460,55,9.063015304404116,2,500만미만
2026Q1,아바타: 불과 재,20256396,38640,95553,6731026,41,8.450445485441351,3,500만+
2026Q1,신의악단,20247457,36543,68592,1438794,75,7.991838234329279,4,500만미만
2026Q1,휴민트,20241266,29126,89915,1979498,38,6.369763851163686,5,500만미만
2026Q1,주토피아 2,20252432,21800,47450,8604180,38,4.76759087946743,6,500만+
2026Q1,호퍼스,20256283,18431,42868,712810,30,4.030801261443311,7,500만미만
2026Q1,프로젝트 헤일메리,20261782,18326,53403,1234721,14,4.007838094363308,8,500만미만
2026Q1,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",20228313 / 20254219,12930,22984,1268560,32,2.8277500032804523,9,500만미만
2026Q1,"신비아파트 10주년 극장판: 한 번 더, 소환",20250482,11242,18714,319083,21,2.4585897553657268,10,500만미만
2026Q2,살목지,20254121,50071,161633,3230647,50,17.68868257803779,1,500만미만
2026Q2,프로젝트 헤일메리,20261782,40153,92444,2883508,54,14.184930829341361,2,500만미만
2026Q2,왕과 사는 남자,20242837,33479,89545,16883801,53,11.827193465880988,3,1000만+
2026Q2,악마는 프라다를 입는다 2,20259791,26789,87865,1558581,28,9.46380375033561,4,500만미만
2026Q2,슈퍼 마리오 갤럭시,20259773,24410,70595,1576909,27,8.62336964969548,5,500만미만
2026Q2,마이클,20259626,17623,60915,1184600,16,6.225712549634717,6,500만미만
2026Q2,짱구,20240532,14062,26352,407792,29,4.967710938714372,7,500만미만
2026Q2,군체,20252402,10349,44851,2018610,8,3.65601198298642,8,500만미만
2026Q2,내 이름은,20247648,10158,18811,206709,30,3.588537029971597,9,500만미만
2026Q2,란 12.3,20262685,9028,18513,234543,21,3.1893396639676683,10,500만미만
