movie_count,threshold,tier,start_date,end_date,days,max_share,avg_share,representative_movies,representative_movie_labels
3,60% 이상,1000만+,2020-07-22,2020-07-28,7,69.96820738566888,68.74870054582993,반도 / 알라딘 / 팬데믹,"반도 (<5M, 3,810,397명) / 알라딘 (10M+, 12,797,927명) / 팬데믹 (<5M, 19,945명)"
3,70% 이상,1000만+,2020-07-29,2020-07-30,2,83.35454314074829,81.91304199190307,강철비2: 정상회담 / 반도 / 알라딘,"강철비2: 정상회담 (<5M, 1,790,797명) / 반도 (<5M, 3,810,397명) / 알라딘 (10M+, 12,797,927명)"
3,70% 이상,500만미만,2020-07-31,2020-08-11,12,82.59871441689623,79.53152771487756,강철비2: 정상회담 / 반도 / 빅샤크3: 젤리몬스터 대소동,"강철비2: 정상회담 (<5M, 1,790,797명) / 반도 (<5M, 3,810,397명) / 빅샤크3: 젤리몬스터 대소동 (<5M, 69,761명)"
3,60% 이상,500만미만,2020-08-12,2020-08-17,6,69.44719635426986,68.22783118107112,다만 악에서 구하소서 / 오케이 마담 / 강철비2: 정상회담,"다만 악에서 구하소서 (<5M, 4,353,414명) / 오케이 마담 (<5M, 1,228,551명) / 강철비2: 정상회담 (<5M, 1,790,797명)"
3,70% 이상,500만미만,2020-08-18,2020-08-19,2,71.98637911464245,71.5241113776246,다만 악에서 구하소서 / 오케이 마담 / 강철비2: 정상회담,"다만 악에서 구하소서 (<5M, 4,353,414명) / 오케이 마담 (<5M, 1,228,551명) / 강철비2: 정상회담 (<5M, 1,790,797명)"
3,60% 이상,500만미만,2020-08-20,2020-08-25,6,67.89844142785319,65.05373700064416,다만 악에서 구하소서 / 오케이 마담 / 극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,"다만 악에서 구하소서 (<5M, 4,353,414명) / 오케이 마담 (<5M, 1,228,551명) / 극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠! (<5M, 120,580명)"
3,70% 이상,500만미만,2020-08-26,2020-09-08,14,82.63823805060919,78.8591155878623,테넷 / 다만 악에서 구하소서 / 오케이 마담,"테넷 (<5M, 1,996,621명) / 다만 악에서 구하소서 (<5M, 4,353,414명) / 오케이 마담 (<5M, 1,228,551명)"
3,60% 이상,500만미만,2020-09-09,2020-09-16,8,68.62399193548387,66.06558495398197,테넷 / 오! 문희 / 에이바,"테넷 (<5M, 1,996,621명) / 오! 문희 (<5M, 348,459명) / 에이바 (<5M, 24,517명)"
3,70% 이상,500만미만,2020-09-17,2020-09-22,6,80.75684380032206,77.36891923457952,뮬란 / 테넷 / 오! 문희,"뮬란 (<5M, 226,101명) / 테넷 (<5M, 1,996,621명) / 오! 문희 (<5M, 348,459명)"
3,60% 이상,500만미만,2020-10-19,2020-10-20,2,63.63109048723898,62.71718458788179,소리도 없이 / 담보 / 돌멩이,"소리도 없이 (<5M, 398,025명) / 담보 (<5M, 1,715,630명) / 돌멩이 (<5M, 14,680명)"
