date,movie_nm,movie_cd,rank,scrn_cnt,show_cnt,screen_audi_cnt,SS_screen_share_pct,open_date,seat_sales_rate_pct,seat_share_pct_from_kobis,seat_share_pct,seat_share_recalc_vs_kobis_gap_p,audience_share_pct,seats_cnt,audi_cnt,audi_acc,total_seats_cnt,total_audi_cnt,screen_share,seat_share,audience_share,seat_sales_rate,SOI_seat_overallocation,ScOI_screen_overallocation,StEI_seat_efficiency,ScEI_screen_efficiency,MII,MII_pct,screen_minus_audience_share_p,seat_minus_audience_share_p,has_seat_data,over_30_period_start,over_30_period_end,is_in_peak_over_30_period
2024-05-27,범죄도시4,20228797,2,895.0,3166.0,29951.0,16.83280045138236,,,,,,,,,,,,0.16832800451382363,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-28,범죄도시4,20228797,2,916.0,3137.0,25227.0,17.427701674277017,,,,,,,,,,,,0.17427701674277019,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-29,범죄도시4,20228797,3,828.0,2195.0,29551.0,14.495798319327733,,,,,,,,,,,,0.14495798319327732,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-30,범죄도시4,20228797,3,798.0,2097.0,20530.0,14.467005076142131,,,,,,,,,,,,0.1446700507614213,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-05-31,범죄도시4,20228797,4,839.0,2264.0,29204.0,15.060132830730568,,,,,,,,,,,,0.1506013283073057,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-01,범죄도시4,20228797,4,897.0,2411.0,50484.0,14.719396127338364,,,,,,,,,,,,0.14719396127338363,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-02,범죄도시4,20228797,4,889.0,2322.0,42686.0,15.121619323014118,,,,,,,,,,,,0.15121619323014118,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-03,범죄도시4,20228797,4,787.0,2162.0,15415.0,15.831824582578957,,,,,,,,,,,,0.15831824582578957,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-04,범죄도시4,20228797,4,791.0,2094.0,14119.0,15.455255959359125,,,,,,,,,,,,0.15455255959359124,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-05,범죄도시4,20228797,5,703.0,1790.0,15195.0,12.835493883512871,,,,,,,,,,,,0.12835493883512872,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-06,범죄도시4,20228797,5,684.0,1398.0,31581.0,10.731095073737055,,,,,,,,,,,,0.10731095073737056,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-07,범죄도시4,20228797,4,703.0,1475.0,21933.0,11.545409755296436,,,,,,,,,,,,0.11545409755296436,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-08,범죄도시4,20228797,5,713.0,1388.0,28821.0,10.970918602861978,,,,,,,,,,,,0.10970918602861979,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-09,범죄도시4,20228797,5,686.0,1309.0,21161.0,10.687022900763358,,,,,,,,,,,,0.10687022900763359,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-10,범죄도시4,20228797,4,653.0,1288.0,8344.0,12.26751831673868,,,,,,,,,,,,0.1226751831673868,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
2024-06-11,범죄도시4,20228797,4,634.0,1233.0,7716.0,11.804133308508655,,,,,,,,,,,,0.11804133308508655,,,,,,,,,,,,False,2024-04-24,2024-05-14,False
